TIPOLOGIA,DENOMINAZIONE,SETTORE COMPETENTE,RECINTATO,WC,CUSTODITO,SUPERFICIE MQ
aiuola,,Infrastrutture - Verde Pubblico,0,0,0,54
aiuola,,Infrastrutture - Verde Pubblico,0,0,0,87
aiuola,,Infrastrutture - Verde Pubblico,0,0,0,119
area cani,Campo Marzo,Partecipazione,1,0,0,1712
area cani,Campo Parco Ippodromo,Partecipazione,1,0,0,933
area cani,Parco del Retrone,Partecipazione,1,0,0,349
area cani,Parco Fornaci,Partecipazione,1,0,0,1589
area cani,Verde attrezzato di via P. Piovesan,Partecipazione,1,0,0,956
area naturalistica,Bosco delle Maddalene,Infrastrutture - Verde Pubblico,0,0,0,29458
area naturalistica,Bosco del quarelo,Infrastrutture - Verde Pubblico,0,0,0,93038
area naturalistica,Bosco di Carpaneda,Infrastrutture - Verde Pubblico,1,0,0,48032
area naturalistica,Parco Astichello,Infrastrutture - Verde Pubblico,0,0,0,31312
area naturalistica,Parco Astichello,Infrastrutture - Verde Pubblico,0,0,0,31897
area naturalistica,Parco di Villa Guiccioli,Cultura,1,1,1,68623
area naturalistica,Parco villa Bedin Aldighieri,Infrastrutture - Verde Pubblico,1,1,1,150054
area naturalistica,Parco villa Rota Barbieri,Infrastrutture - Verde Pubblico,1,0,0,42805
oasi naturalistica,Oasi di Casale,Infrastrutture - Verde Pubblico,1,1,1,297766
oasi naturalistica,Oasi Valletta del Silenzio,Partecipazione,1,0,1,42903
parco giochi,Parco di via Cavalieri di Vittorio Veneto,Infrastrutture - Verde Pubblico,0,0,0,2922
parco giochi,Parco di via Giuriato,Infrastrutture - Verde Pubblico,1,1,1,6213
parco giochi,Parco di via Mameli,Infrastrutture - Verde Pubblico,1,1,1,4442
parco giochi,Parco di Villa Lattes,Infrastrutture - Verde Pubblico,1,0,1,3895
parco giochi,Parco giochi borghetto di Saviabona,Infrastrutture - Verde Pubblico,1,0,1,832
parco giochi,Parco giochi del Villaggio del Sole,Infrastrutture - Verde Pubblico,0,0,0,14042
parco giochi,Parco giochi di Longara Villaggio Aurora,Infrastrutture - Verde Pubblico,0,0,1,1675
parco giochi,Parco giochi di Parco citta,Infrastrutture - Verde Pubblico,1,1,1,330
parco giochi,Parco giochi di San Marco,Infrastrutture - Verde Pubblico,1,1,1,1412
parco giochi,Parco giochi di San Pietro Intrigogna,Infrastrutture - Verde Pubblico,1,1,1,265
parco giochi,Parco giochi di San Pietro Intrigogna,Infrastrutture - Verde Pubblico,0,0,1,475
parco giochi,Parco giochi di Saviabona,Infrastrutture - Verde Pubblico,1,0,1,592
parco giochi,Parco giochi di strada dei Pizzolati,Infrastrutture - Verde Pubblico,0,0,0,2839
parco giochi,Parco giochi di via Adenauer,Infrastrutture - Verde Pubblico,1,1,1,10683
parco giochi,Parco giochi di via Baracca,Infrastrutture - Verde Pubblico,1,1,1,5579
parco giochi,Parco giochi di via Bassano Arpalica Cuman Pertile,Infrastrutture - Verde Pubblico,1,1,1,4101
parco giochi,Parco giochi di via Brenta,Infrastrutture - Verde Pubblico,1,0,1,1040
parco giochi,Parco giochi di via Calvi,Infrastrutture - Verde Pubblico,1,0,1,873
parco giochi,Parco giochi di via Cereda,Infrastrutture - Verde Pubblico,1,0,1,3162
parco giochi,Parco giochi di Via Coltura Camisana,Infrastrutture - Verde Pubblico,1,1,1,1639
parco giochi,Parco giochi di Via Dall'Acqua,Infrastrutture - Verde Pubblico,0,0,0,541
parco giochi,Parco giochi di via da Palestrina,Infrastrutture - Verde Pubblico,1,1,1,1647
parco giochi,Parco giochi di via Fratelli Stuparich,Infrastrutture - Verde Pubblico,1,1,1,3673
parco giochi,Parco giochi di via Gagliardotti,Infrastrutture - Verde Pubblico,1,0,1,534
parco giochi,Parco giochi di via Generale Dalla Chiesa,Infrastrutture - Verde Pubblico,1,0,1,1698
parco giochi,Parco giochi di via Goito,Infrastrutture - Verde Pubblico,1,1,1,3285
parco giochi,Parco giochi di via Granezza,Infrastrutture - Verde Pubblico,0,0,1,2441
parco giochi,Parco giochi di via Imperiali,Infrastrutture - Verde Pubblico,1,0,1,1335
parco giochi,Parco giochi di via Ischia,Infrastrutture - Verde Pubblico,1,0,1,1624
parco giochi,Parco giochi di viale Fiume,Infrastrutture - Verde Pubblico,1,1,1,5588
parco giochi,Parco giochi di viale Ippodromo,Infrastrutture - Verde Pubblico,1,1,1,8480
parco giochi,Parco giochi di viale Trieste Hermann Gmeiner,Infrastrutture - Verde Pubblico,1,0,1,2715
parco giochi,Parco giochi di viale X Giugno,Infrastrutture - Verde Pubblico,1,0,1,471
parco giochi,Parco giochi di via Macchiavelli,Infrastrutture - Verde Pubblico,1,1,1,1695
